reservation_id,hotel_id,guest_ref,nationality_iso2,adults,children,rooms,nights,room_nights,arrival_date,departure_date,status,rate_code
RES-2026Q1-00141,MZN-DXB-001,g_1910a3669c6d2264,EG,3,3,1,1,1,2026-01-06,2026-01-07,CHECKED_OUT,BAR
RES-2026Q1-00168,MZN-DXB-001,g_2050745a02488a6b,DE,1,0,1,2,2,2026-01-06,2026-01-08,CHECKED_OUT,CORP
RES-2026Q1-00296,MZN-DXB-001,g_caec211d9ceef5f5,IN,1,2,1,6,6,2026-01-06,2026-01-12,CHECKED_OUT,GROUP
RES-2026Q1-00335,MZN-DXB-001,g_bb87d3fc60e53ba7,US,1,0,1,3,3,2026-01-06,2026-01-09,CHECKED_OUT,OTA
RES-2026Q1-00358,MZN-DXB-001,g_2a1cb539a0917afd,GB,2,3,1,3,3,2026-01-06,2026-01-09,CHECKED_OUT,OTA
RES-2026Q1-00459,MZN-DXB-001,g_f6ccb79ea9e8656a,IN,2,0,1,7,7,2026-01-06,2026-01-13,CHECKED_OUT,BAR
RES-2026Q1-00607,MZN-DXB-001,g_20a130fb6d15a0d5,NL,2,1,1,2,2,2026-01-06,2026-01-08,CHECKED_OUT,GOV
RES-2026Q1-00708,MZN-DXB-001,g_ea694508231942f6,DE,1,0,1,2,2,2026-01-06,2026-01-08,CHECKED_OUT,CORP
RES-2026Q1-00760,MZN-DXB-001,g_9a60b76a90cfe066,RU,2,0,1,2,2,2026-01-06,2026-01-08,CHECKED_OUT,COMP
RES-2026Q1-00831,MZN-DXB-001,g_aa118fc2d4a4d3f0,JP,4,3,1,1,1,2026-01-06,2026-01-07,CHECKED_OUT,CORP
RES-2026Q1-01023,MZN-DXB-001,g_236f8437e0dfc88f,IN,2,0,1,6,6,2026-01-06,2026-01-12,CHECKED_OUT,BAR
RES-2026Q1-01030,MZN-DXB-001,g_4ea8484c4c645086,IN,1,0,1,4,4,2026-01-06,2026-01-10,CHECKED_OUT,OTA
RES-2026Q1-01119,MZN-DXB-001,g_3bec03971d2648ae,RU,4,0,1,3,3,2026-01-06,2026-01-09,CHECKED_OUT,BAR
RES-2026Q1-00178,MZN-DXB-001,g_a609bacaa297002c,RU,2,0,1,3,3,2026-01-07,2026-01-10,CHECKED_OUT,GROUP
RES-2026Q1-00260,MZN-DXB-001,g_751a026a6ef7c9c6,CN,2,0,1,2,2,2026-01-07,2026-01-09,CHECKED_OUT,BAR
RES-2026Q1-00312,MZN-DXB-001,g_aff31a60d3809737,KZ,3,1,1,2,2,2026-01-07,2026-01-09,CANCELLED,OTA
RES-2026Q1-00406,MZN-DXB-001,g_d80a762e43045df1,DE,2,0,1,1,1,2026-01-07,2026-01-08,CHECKED_OUT,BAR
RES-2026Q1-00451,MZN-DXB-001,g_7cd166927b87b34e,EG,2,1,1,1,1,2026-01-07,2026-01-08,CHECKED_OUT,BAR
RES-2026Q1-00464,MZN-DXB-001,g_afeb4add29d5cc50,IN,2,0,2,5,10,2026-01-07,2026-01-12,CHECKED_OUT,CORP
RES-2026Q1-00477,MZN-DXB-001,g_f41d4be436a35e06,PL,2,0,1,2,2,2026-01-07,2026-01-09,CHECKED_OUT,CORP
RES-2026Q1-00526,MZN-DXB-001,g_c75c6de1a01909c1,NL,1,2,1,3,3,2026-01-07,2026-01-10,CHECKED_OUT,OTA
RES-2026Q1-00559,MZN-DXB-001,g_b2b7e1b9ee02eb7b,FR,1,2,1,2,2,2026-01-07,2026-01-09,CHECKED_OUT,OTA
RES-2026Q1-00676,MZN-DXB-001,g_475b3edded7aa63c,US,2,0,1,4,4,2026-01-07,2026-01-11,CHECKED_OUT,BAR
RES-2026Q1-00731,MZN-DXB-001,g_e696f4ab50eb0b56,CN,1,1,1,3,3,2026-01-07,2026-01-10,CHECKED_OUT,OTA
RES-2026Q1-00913,MZN-DXB-001,g_c92bd4356dea1684,IT,3,0,1,18,18,2026-01-07,2026-01-25,CANCELLED,BAR
RES-2026Q1-00923,MZN-DXB-001,g_e5e33a7ec42a3e66,EG,2,0,1,4,4,2026-01-07,2026-01-11,CHECKED_OUT,BAR
RES-2026Q1-01188,MZN-DXB-001,g_340afa5e39ecf4fb,PL,2,0,1,3,3,2026-01-07,2026-01-10,CHECKED_OUT,OTA
RES-2026Q1-00107,MZN-DXB-001,g_636ef9386019593c,RU,2,0,1,4,4,2026-01-08,2026-01-12,CHECKED_OUT,COMP
RES-2026Q1-00147,MZN-DXB-001,g_b439bd860bc9bf31,FR,1,0,1,7,7,2026-01-08,2026-01-15,CHECKED_OUT,OTA
RES-2026Q1-00291,MZN-DXB-001,g_3475a806301faf27,PL,2,0,1,1,1,2026-01-08,2026-01-09,CHECKED_OUT,BAR
RES-2026Q1-00388,MZN-DXB-001,g_0a2c5994e150f63c,SA,1,0,1,1,1,2026-01-08,2026-01-09,NO_SHOW,GOV
RES-2026Q1-00560,MZN-DXB-001,g_3ea2a90942e3e794,KZ,1,0,2,4,8,2026-01-08,2026-01-12,CANCELLED,BAR
RES-2026Q1-00748,MZN-DXB-001,g_56ecb516b087cefa,DE,1,2,1,5,5,2026-01-08,2026-01-13,CHECKED_OUT,GROUP
RES-2026Q1-01101,MZN-DXB-001,g_f1da931400b17bc1,CZ,1,0,1,3,3,2026-01-08,2026-01-11,CANCELLED,GROUP
RES-2026Q1-01118,MZN-DXB-001,g_aaea4ed01ee0d5dd,FR,4,0,1,4,4,2026-01-08,2026-01-12,CHECKED_OUT,GROUP
RES-2026Q1-01148,MZN-DXB-001,g_fadde6241a1835cf,IN,1,0,1,8,8,2026-01-08,2026-01-16,CHECKED_OUT,GROUP
RES-2026Q1-00173,MZN-DXB-001,g_e0864be31d07a0db,DE,1,2,1,1,1,2026-01-09,2026-01-10,CHECKED_OUT,BAR
RES-2026Q1-00182,MZN-DXB-001,g_68f736194bd27ac0,JP,2,2,1,1,1,2026-01-09,2026-01-10,CHECKED_OUT,BAR
RES-2026Q1-00225,MZN-DXB-001,g_3f86dc3ceb1eb819,RU,2,0,1,4,4,2026-01-09,2026-01-13,CHECKED_OUT,BAR
RES-2026Q1-00818,MZN-DXB-001,g_68b35e4a485a681a,JP,2,0,1,1,1,2026-01-09,2026-01-10,CHECKED_OUT,OTA
RES-2026Q1-00822,MZN-DXB-001,g_1e934b49ae3a1d5f,IN,1,0,1,4,4,2026-01-09,2026-01-13,CHECKED_OUT,CORP
RES-2026Q1-00883,MZN-DXB-001,g_b8c9dee792375040,GB,1,0,1,7,7,2026-01-09,2026-01-16,CHECKED_OUT,BAR
RES-2026Q1-00893,MZN-DXB-001,g_df1ff315ecb6da86,IN,2,2,1,7,7,2026-01-09,2026-01-16,CHECKED_OUT,OTA
RES-2026Q1-01115,MZN-DXB-001,g_b16bee0d0fdd3115,FR,3,0,1,3,3,2026-01-09,2026-01-12,CHECKED_OUT,OTA
RES-2026Q1-00252,MZN-DXB-001,g_f87d213682dc87bc,IN,3,1,1,9,9,2026-01-10,2026-01-19,CHECKED_OUT,BAR
RES-2026Q1-00305,MZN-DXB-001,g_75da7cec16660133,KZ,3,0,2,1,2,2026-01-10,2026-01-11,CHECKED_OUT,OTA
RES-2026Q1-00416,MZN-DXB-001,g_664c54adbae5759d,IN,4,0,1,3,3,2026-01-10,2026-01-13,CHECKED_OUT,CORP
RES-2026Q1-00433,MZN-DXB-001,g_d2c6090018d58003,GB,1,0,1,2,2,2026-01-10,2026-01-12,CANCELLED,GOV
RES-2026Q1-00507,MZN-DXB-001,g_ec8b6249dc12787c,US,2,0,1,1,1,2026-01-10,2026-01-11,CHECKED_OUT,BAR
RES-2026Q1-00669,MZN-DXB-001,g_d782a1758fa8a2f5,PH,3,0,1,5,5,2026-01-10,2026-01-15,CHECKED_OUT,BAR
RES-2026Q1-00875,MZN-DXB-001,g_c231385aefcf3c29,RU,3,0,1,4,4,2026-01-10,2026-01-14,CANCELLED,BAR
RES-2026Q1-00900,MZN-DXB-001,g_59028a89ad676efb,PH,2,0,3,2,6,2026-01-10,2026-01-12,CHECKED_OUT,BAR
RES-2026Q1-00907,MZN-DXB-001,g_2d96efd5043eba4d,GB,2,0,1,4,4,2026-01-10,2026-01-14,CANCELLED,GROUP
RES-2026Q1-00969,MZN-DXB-001,g_fa87b402021d8418,CN,2,2,2,4,8,2026-01-10,2026-01-14,CHECKED_OUT,GOV
RES-2026Q1-01088,MZN-DXB-001,g_9021572f906b687a,CN,2,0,1,1,1,2026-01-10,2026-01-11,CHECKED_OUT,CORP
RES-2026Q1-00105,MZN-DXB-001,g_02342d90e0380cf6,SA,3,0,1,2,2,2026-01-11,2026-01-13,CHECKED_OUT,COMP
RES-2026Q1-00278,MZN-DXB-001,g_919c772af3638537,IN,2,1,1,2,2,2026-01-11,2026-01-13,CHECKED_OUT,BAR
RES-2026Q1-00369,MZN-DXB-001,g_2a50d4cd702083fc,GB,2,0,1,1,1,2026-01-11,2026-01-12,CHECKED_OUT,BAR
RES-2026Q1-00443,MZN-DXB-001,g_1274a432ee39175d,PH,2,0,1,3,3,2026-01-11,2026-01-14,NO_SHOW,CORP
RES-2026Q1-00485,MZN-DXB-001,g_2d4ea5cd443f2ec5,EG,2,1,1,1,1,2026-01-11,2026-01-12,NO_SHOW,CORP
RES-2026Q1-00522,MZN-DXB-001,g_fc3b667f166cfd60,IN,1,0,1,2,2,2026-01-11,2026-01-13,NO_SHOW,BAR
RES-2026Q1-00551,MZN-DXB-001,g_8062fc0cd8cef3a4,PH,2,0,2,1,2,2026-01-11,2026-01-12,CHECKED_OUT,BAR
RES-2026Q1-00840,MZN-DXB-001,g_00bc908db20e2ee2,EG,1,2,1,1,1,2026-01-11,2026-01-12,CHECKED_OUT,CORP
RES-2026Q1-00845,MZN-DXB-001,g_2ab20fa7b45890ac,GB,1,0,1,4,4,2026-01-11,2026-01-15,CHECKED_OUT,BAR
RES-2026Q1-01090,MZN-DXB-001,g_c9000b792f043af3,US,1,0,1,2,2,2026-01-11,2026-01-13,CANCELLED,GROUP
RES-2026Q1-01102,MZN-DXB-001,g_955450800e007fb5,SA,2,0,1,4,4,2026-01-11,2026-01-15,CHECKED_OUT,OTA
RES-2026Q1-00093,MZN-DXB-001,g_4b6c9ae74692c163,GB,3,0,1,1,1,2026-01-12,2026-01-13,CHECKED_OUT,COMP
RES-2026Q1-00287,MZN-DXB-001,g_7d8384be8521a4c9,SA,2,0,1,3,3,2026-01-12,2026-01-15,CHECKED_OUT,BAR
RES-2026Q1-00374,MZN-DXB-001,g_067629f4367c51b1,EG,1,0,1,2,2,2026-01-12,2026-01-14,CHECKED_OUT,OTA
RES-2026Q1-00478,MZN-DXB-001,g_c530a2a36a36d8eb,NL,2,0,1,3,3,2026-01-12,2026-01-15,CHECKED_OUT,CORP
RES-2026Q1-00630,MZN-DXB-001,g_2fe9e97c2d7f0805,IN,1,0,1,2,2,2026-01-12,2026-01-14,NO_SHOW,OTA
RES-2026Q1-00712,MZN-DXB-001,g_19b6052b2fe73220,GB,1,0,2,7,14,2026-01-12,2026-01-19,CHECKED_OUT,BAR
RES-2026Q1-00775,MZN-DXB-001,g_42011ac83fe1f0cb,US,1,1,1,4,4,2026-01-12,2026-01-16,CHECKED_OUT,GROUP
RES-2026Q1-00787,MZN-DXB-001,g_6126ea3f3cde8f4f,RU,2,0,2,1,2,2026-01-12,2026-01-13,CANCELLED,HOUSE
RES-2026Q1-00936,MZN-DXB-001,g_1782149284a2233b,RU,2,0,1,1,1,2026-01-12,2026-01-13,CHECKED_OUT,OTA
RES-2026Q1-00939,MZN-DXB-001,g_47c3d509f283f94f,KR,2,0,1,1,1,2026-01-12,2026-01-13,CANCELLED,BAR
RES-2026Q1-00970,MZN-DXB-001,g_60822326b6e2f331,IN,1,0,1,8,8,2026-01-12,2026-01-20,NO_SHOW,BAR
RES-2026Q1-01126,MZN-DXB-001,g_51aed6838b6b6f87,RU,2,0,1,3,3,2026-01-12,2026-01-15,CHECKED_OUT,CORP
RES-2026Q1-01192,MZN-DXB-001,g_08561b0d9a221d7e,PK,1,1,1,5,5,2026-01-12,2026-01-17,NO_SHOW,GOV
RES-2026Q1-00103,MZN-DXB-001,g_5a327e99517b4a9c,EG,2,0,1,10,10,2026-01-13,2026-01-23,CHECKED_OUT,COMP
RES-2026Q1-00259,MZN-DXB-001,g_db4595f9194d3319,RU,1,0,1,3,3,2026-01-13,2026-01-16,CHECKED_OUT,OTA
RES-2026Q1-00290,MZN-DXB-001,g_e824a2253980e933,GB,3,0,1,3,3,2026-01-13,2026-01-16,CHECKED_OUT,GOV
RES-2026Q1-00292,MZN-DXB-001,g_c5ae30091fb0b65b,IN,2,2,1,3,3,2026-01-13,2026-01-16,CHECKED_OUT,BAR
RES-2026Q1-00307,MZN-DXB-001,g_0e00783bf08a3b0c,GB,1,2,1,14,14,2026-01-13,2026-01-27,CHECKED_OUT,HOUSE
RES-2026Q1-00395,MZN-DXB-001,g_6a48f0a95fc63538,GB,2,0,1,1,1,2026-01-13,2026-01-14,CANCELLED,BAR
RES-2026Q1-00626,MZN-DXB-001,g_8a97b56e6458a7c8,KZ,2,0,1,4,4,2026-01-13,2026-01-17,CANCELLED,BAR
RES-2026Q1-00638,MZN-DXB-001,g_d9df12a91e9614ac,GB,3,2,1,3,3,2026-01-13,2026-01-16,CHECKED_OUT,BAR
RES-2026Q1-00705,MZN-DXB-001,g_a4b451006d0b7c07,RU,1,2,1,2,2,2026-01-13,2026-01-15,CHECKED_OUT,OTA
RES-2026Q1-00876,MZN-DXB-001,g_8ccfdf0f2f3602a3,EG,2,0,2,2,4,2026-01-13,2026-01-15,CHECKED_OUT,CORP
RES-2026Q1-01083,MZN-DXB-001,g_363669b2056a057a,FR,1,0,1,4,4,2026-01-13,2026-01-17,CHECKED_OUT,OTA
RES-2026Q1-01105,MZN-DXB-001,g_12fe74720f43bc06,SA,1,1,1,1,1,2026-01-13,2026-01-14,CHECKED_OUT,BAR
RES-2026Q1-01107,MZN-DXB-001,g_23a8ae73e2d37595,DE,2,1,1,5,5,2026-01-13,2026-01-18,NO_SHOW,BAR
RES-2026Q1-00069,MZN-DXB-001,g_8bd8b6567a54332a,US,1,0,1,0,0,2026-01-14,2026-01-14,CHECKED_OUT,OTA
RES-2026Q1-00200,MZN-DXB-001,g_e97d8059cbc2462f,GB,2,0,1,2,2,2026-01-14,2026-01-16,CHECKED_OUT,CORP
RES-2026Q1-00235,MZN-DXB-001,g_db143045eebf1ad1,IT,2,0,1,4,4,2026-01-14,2026-01-18,CHECKED_OUT,HOUSE
RES-2026Q1-00255,MZN-DXB-001,g_a5203e8a41dbc4c1,NL,2,0,1,1,1,2026-01-14,2026-01-15,NO_SHOW,COMP
RES-2026Q1-00360,MZN-DXB-001,g_3309b9bcfa14a806,GB,1,0,1,2,2,2026-01-14,2026-01-16,CHECKED_OUT,CORP
RES-2026Q1-00724,MZN-DXB-001,g_22f61cef35ec6d78,IN,1,0,1,5,5,2026-01-14,2026-01-19,CHECKED_OUT,BAR
RES-2026Q1-00781,MZN-DXB-001,g_17142c14f028f783,GB,1,0,1,1,1,2026-01-14,2026-01-15,CHECKED_OUT,BAR
RES-2026Q1-00813,MZN-DXB-001,g_a1647bcd1464d93b,US,2,0,1,1,1,2026-01-14,2026-01-15,CHECKED_OUT,BAR
RES-2026Q1-00950,MZN-DXB-001,g_87d30084989c5647,EG,1,0,1,3,3,2026-01-14,2026-01-17,CHECKED_OUT,BAR
RES-2026Q1-01053,MZN-DXB-001,g_2d59a534193a78fb,FR,2,0,1,6,6,2026-01-14,2026-01-20,CHECKED_OUT,CORP
RES-2026Q1-00117,MZN-DXB-001,g_24a0f4949e9ecd63,US,2,1,1,3,3,2026-01-15,2026-01-18,CHECKED_OUT,HOUSE
RES-2026Q1-00176,MZN-DXB-001,g_8555b43b5c703638,KZ,2,0,1,2,2,2026-01-15,2026-01-17,CHECKED_OUT,GROUP
RES-2026Q1-00203,MZN-DXB-001,g_0dc3d647bf864f74,DE,2,1,1,7,7,2026-01-15,2026-01-22,CHECKED_OUT,GROUP
RES-2026Q1-00349,MZN-DXB-001,g_bf287cedaafa730e,GB,1,0,1,4,4,2026-01-15,2026-01-19,CHECKED_OUT,CORP
RES-2026Q1-00436,MZN-DXB-001,g_40d7af58e465e215,GB,2,0,1,8,8,2026-01-15,2026-01-23,CHECKED_OUT,CORP
RES-2026Q1-00535,MZN-DXB-001,g_87df5bd1b06cec0c,DE,3,2,1,4,4,2026-01-15,2026-01-19,CHECKED_OUT,OTA
RES-2026Q1-00600,MZN-DXB-001,g_9001439557781823,KR,3,0,3,7,21,2026-01-15,2026-01-22,CANCELLED,HOUSE
RES-2026Q1-01015,MZN-DXB-001,g_bef049f80b196969,FR,2,3,1,7,7,2026-01-15,2026-01-22,CHECKED_OUT,BAR
RES-2026Q1-01111,MZN-DXB-001,g_2571f7eecf17ffed,CZ,2,0,1,7,7,2026-01-15,2026-01-22,CANCELLED,CORP
RES-2026Q1-01184,MZN-DXB-001,g_42bf692bc1e38bf0,KZ,3,0,1,3,3,2026-01-15,2026-01-18,CHECKED_OUT,BAR
RES-2026Q1-00082,MZN-DXB-001,g_f0b87cbf58c37297,CN,2,2,1,0,0,2026-01-16,2026-01-16,CHECKED_OUT,BAR
RES-2026Q1-00106,MZN-DXB-001,g_8092fecfb7b5b441,IN,2,0,1,3,3,2026-01-16,2026-01-19,CHECKED_OUT,COMP
RES-2026Q1-00124,MZN-DXB-001,g_a4533e517eae9611,PH,2,2,1,4,4,2026-01-16,2026-01-20,CHECKED_OUT,HOUSE
RES-2026Q1-00164,MZN-DXB-001,g_31ac624d4c61ffc0,FR,2,0,1,2,2,2026-01-16,2026-01-18,CHECKED_OUT,BAR
